name,entity_type
Afghanistan,Parties
Albania,Parties
Algeria,Parties
Andorra,Parties
Angola,Parties
Antigua and Barbuda,Parties
Argentina,Parties
Armenia,Parties
Australia,Parties
Austria,Parties
Azerbaijan,Parties
Bahamas,Parties
Bahrain,Parties
Bangladesh,Parties
Barbados,Parties
Belarus,Parties
Belgium,Parties
Belize,Parties
Benin,Parties
Bhutan,Parties
Bolivia (Plurinational State of),Parties
Bosnia and Herzegovina,Parties
Botswana,Parties
Brazil,Parties
Brunei Darussalam,Parties
Bulgaria,Parties
Burkina Faso,Parties
Burundi,Parties
Cabo Verde,Parties
Cambodia,Parties
Cameroon,Parties
Canada,Parties
Central African Republic,Parties
Chad,Parties
Chile,Parties
China,Parties
Colombia,Parties
Comoros,Parties
Congo,Parties
Cook Islands,Parties
Costa Rica,Parties
Côte d’Ivoire,Parties
Croatia,Parties
Cuba,Parties
Cyprus,Parties
Czech Republic,Parties
Democratic People’s,Parties
Republic of Korea,Parties
Democratic Republic of the Congo,Parties
Denmark,Parties
Djibouti,Parties
Dominica,Parties
Dominican Republic,Parties
Ecuador,Parties
Egypt,Parties
El Salvador,Parties
Equatorial Guinea,Parties
Eritrea,Parties
Estonia,Parties
Ethiopia,Parties
European Union,Parties
Fiji,Parties
Finland,Parties
France,Parties
Gabon,Parties
Gambia,Parties
Georgia,Parties
Germany,Parties
Ghana,Parties
Greece,Parties
Grenada,Parties
Guatemala,Parties
Guinea,Parties
Guinea-Bissau,Parties
Guyana,Parties
Haiti,Parties
Honduras,Parties
Hungary,Parties
Iceland,Parties
India,Parties
Indonesia,Parties
Iran (Islamic Republic of),Parties
Iraq,Parties
Ireland,Parties
Israel,Parties
Italy,Parties
Jamaica,Parties
Japan,Parties
Jordan,Parties
Kazakhstan,Parties
Kenya,Parties
Kiribati,Parties
Kuwait,Parties
Kyrgyzstan,Parties
Lao People’s Democratic Republic,Parties
Latvia,Parties
Lebanon,Parties
Lesotho,Parties
Liberia,Parties
Libya,Parties
Liechtenstein,Parties
Lithuania,Parties
Luxembourg,Parties
Madagascar,Parties
Malawi,Parties
Malaysia,Parties
Maldives,Parties
Mali,Parties
Malta,Parties
Marshall Islands,Parties
Mauritania,Parties
Mauritius,Parties
Mexico,Parties
Micronesia (Federated States of),Parties
Monaco,Parties
Mongolia,Parties
Montenegro,Parties
Morocco,Parties
Mozambique,Parties
Myanmar,Parties
Namibia,Parties
Nauru,Parties
Nepal,Parties
Netherlands,Parties
New Zealand,Parties
Nicaragua,Parties
Niger,Parties
Nigeria,Parties
Niue,Parties
Norway,Parties
Oman,Parties
Pakistan,Parties
Palau,Parties
Panama,Parties
Papua New Guinea,Parties
Paraguay,Parties
Peru,Parties
Philippines,Parties
Poland,Parties
Portugal,Parties
Qatar,Parties
Republic of Moldova,Parties
Romania,Parties
Russian Federation,Parties
Rwanda,Parties
Saint Kitts and Nevis,Parties
Saint Lucia,Parties
Saint Vincent and the Grenadines,Parties
Samoa,Parties
San Marino,Parties
Sao Tome and Principe,Parties
Saudi Arabia,Parties
Senegal,Parties
Serbia,Parties
Seychelles,Parties
Sierra Leone,Parties
Singapore,Parties
Slovakia,Parties
Slovenia,Parties
Solomon Islands,Parties
Somalia,Parties
South Africa,Parties
South Sudan,Parties
Spain,Parties
Sri Lanka,Parties
Sudan,Parties
Suriname,Parties
Swaziland,Parties
Sweden,Parties
Switzerland,Parties
Syrian Arab Republic,Parties
Tajikistan,Parties
Thailand,Parties
The former Yugoslav Republic of Macedonia,Parties
Timor-Leste,Parties
Togo,Parties
Tonga,Parties
Trinidad and Tobago,Parties
Tunisia,Parties
Turkey,Parties
Turkmenistan,Parties
Tuvalu,Parties
Uganda,Parties
Ukraine,Parties
United Arab Emirates,Parties
United Kingdom of Great Britain and Northern Ireland,Parties
United Republic of Tanzania,Parties
United States of America,Parties
Uruguay,Parties
Uzbekistan,Parties
Vanuatu,Parties
Venezuela (Bolivarian Republic of),Parties
Viet Nam,Parties
Yemen,Parties
Zambia,Parties
Zimbabwe,Parties
Holy See,Observer States
State of Palestine,Observer States
United Nations Secretariat,United Nations Secretariat units and bodies
Chief Executives Board for Coordination,United Nations Secretariat units and bodies
Convention on the Conservation of Migratory Species of Wild Animals,United Nations Secretariat units and bodies
Department of Economic and Social Affairs,United Nations Secretariat units and bodies
Economic and Social Commission for Asia and the Pacific,United Nations Secretariat units and bodies
Economic and Social Commission for Western Asia,United Nations Secretariat units and bodies
Economic Commission for Africa,United Nations Secretariat units and bodies
International Trade Centre,United Nations Secretariat units and bodies
Multilateral Fund for the Implementation of the Montreal Protocol,United Nations Secretariat units and bodies
